video_id,comment,clean_comment,label,label_id
C8XBDjbPNNU,Saya tidak setuju 😠😠😡😠😠😠😠😠😠😠😡,saya tidak setuju,negative,0
DfYhY-bKsZI,Tapi ini sawit makin banyak koruptor gak di usir terus masih banyak gw kasian Ama bocah bocah,tapi ini sawit makin banyak koruptor gak di usir terus masih banyak gw kasian ama bocah bocah,negative,0
C8XBDjbPNNU,Setuju,setuju,positive,2
aZEtsruDoQc,Harusnya mereka itu mikir! Kalo tanpa medsos di umur segitu ada yang merasa dirugikan krn ada yg membuat usaha dll,harusnya mereka itu mikir kalo tanpa medsos di umur segitu ada yang merasa dirugikan krn ada yg membuat usaha dll,negative,0
tuaZNgn2rcc,Alhamdulillah saya setuju 1000% Bu,alhamdulillah saya setuju 1000 bu,positive,2
R1hQwelEGvU,Berhentikan ini kita akan berbakti dengan orang tua tapi dengan satu syarat hp kita gak boleh dinonaktifkan kalau gak mau gak usah dipaksakan😇😇😇,berhentikan ini kita akan berbakti dengan orang tua tapi dengan satu syarat hp kita gak boleh dinonaktifkan kalau gak mau gak usah dipaksakan,negative,0
tuaZNgn2rcc,Wooooooooy. Jangan di ban oyyyy orang gede kayak sma itu harus benned sosmed bukan bocil kan orang gede kan ada yang pacaran di sosmed sama roblox plssss jangan di ban,wooooooooy jangan di ban oyyyy orang gede kayak sma itu harus benned sosmed bukan bocil kan orang gede kan ada yang pacaran di sosmed sama roblox plssss jangan di ban,negative,0
lM-QZ4uCXuk,Hei akun saya yang di bawah umur di hapus saya tidak jahat emang anak kecil itu aslinya gak boleh main hp tapi aku belajar juga pake aplikasi aku tidak judi tidak menonton porno dan yang lain²nya,hei akun saya yang di bawah umur di hapus saya tidak jahat emang anak kecil itu aslinya gak boleh main hp tapi aku belajar juga pake aplikasi aku tidak judi tidak menonton porno dan yang lainnya,neutral,1
iLERE4VmtZc,"Alhamdulillah ,. Saya sebagai orang tua sangat setuju ❤🤗",alhamdulillah saya sebagai orang tua sangat setuju,positive,2
p8p-sAq_hhI,Awas lu gua demo nanti lu,awas lu gua demo nanti lu,negative,0
p8p-sAq_hhI,"1 titik 2 koma <br>Lu cantik kaya doma <br><br>Dari pada aturan gini mending batasi dulu pajak, korupsi, dan kok cuman satu pihak itu coba lu ada di posisi kita lu akan merasakan apa dampak bagi kita semua, ya setidaknya daripada seperti itu perketat aja  aturan nya atau seperti ini<br>Kita harus memisah kan duri dari ikan dengan daging nya bukan malah membung semuanya 🥺🥺",1 titik 2 koma lu cantik kaya doma dari pada aturan gini mending batasi dulu pajak korupsi dan kok cuman satu pihak itu coba lu ada di posisi kita lu akan merasakan apa dampak bagi kita semua ya setidaknya daripada seperti itu perketat aja aturan nya atau seperti inikita harus memisah kan duri dari ikan dengan daging nya bukan malah membung semuanya,negative,0
LSrWXE05LNY,Mana nih g terjadi2,mana nih g terjadi2,neutral,1
2YHfX7PzVNM,"Kasihan emak-emak zaman sekarang, saking magernya ngedidik anak, sampe minta tolong pemerintah konoha buat jadi satpam digital. Kursus parenting dulu yuk, Bu, gratis kok di YouTube (sebelum dilarang pemerintah).",kasihan emakemak zaman sekarang saking magernya ngedidik anak sampe minta tolong pemerintah konoha buat jadi satpam digital kursus parenting dulu yuk bu gratis kok di youtube sebelum dilarang pemerintah,neutral,1
dVTaBKZLsds,Semua game ff roblok jugaa harus diblokir  juga dong... <br>Kalo game masih ada juga sm aja. Gara gara game anak anak sering top up,semua game ff roblok jugaa harus diblokir juga dong kalo game masih ada juga sm aja gara gara game anak anak sering top up,negative,0
TdyE62mSXx0,bagus pemerintah supaya anak punya masa depan👍  palingan yang gk terima bocil bocil fomo 😹,bagus pemerintah supaya anak punya masa depan palingan yang gk terima bocil bocil fomo,positive,2
LSrWXE05LNY,Kami sudah cape cape tapi anda merusak semua !!!!,kami sudah cape cape tapi anda merusak semua,negative,0
_M85Z0Beq_g,Ga jelas banget sih tiba tiba di blok gitu aja kan kurang ajar emang ga tau diri alay 🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>Tim ga setuju SM sekali<br>👇<br>👇<br>👇,ga jelas banget sih tiba tiba di blok gitu aja kan kurang ajar emang ga tau diri alay tim ga setuju sm sekali,negative,0
dVTaBKZLsds,Dah telaattttt bosss 😂,dah telaattttt bosss,negative,0
V_mvjaonG-w,Ini baru bener bahaya buat anak,ini baru bener bahaya buat anak,positive,2
V_mvjaonG-w,Kalau ini gw dukung 1000 persen,kalau ini gw dukung 1000 persen,positive,2
hzDavp3DQo4,Lah terus buat apa kita beli hp<br>Kaya gak <br>Miskin iya🤬🤬😡🤬,lah terus buat apa kita beli hpkaya gak miskin iya,negative,0
vk2Ynj24qNA,Aaaaaaaah udah di Roblox g bisa chat tambah pusing anj 😡😡😡 aaaah aturan apa lagi coba sekarang makin parah,aaaaaaaah udah di roblox g bisa chat tambah pusing anj aaaah aturan apa lagi coba sekarang makin parah,negative,0
19eKDDkJt6w,alah komdigi taik gimn tuh dengan igrs nya masa game dewasa di kasih umur untuk 3 tahun kocag bet ini mh bukan indonesia emas tpi indonesia cemas😂,alah komdigi taik gimn tuh dengan igrs nya masa game dewasa di kasih umur untuk 3 tahun kocag bet ini mh bukan indonesia emas tpi indonesia cemas,negative,0
8i7X3KrGeF0,Kak?... Aku capek dengan kehidupan ku... Banyak bullying.. Setiap pulang sekolah aku langsung ngerjain tugas.. Lalu hanya ingin mencari hiburan tidak boleh ?.. Teman teman saya kebanyakan mandang fisik jadi malas...,kak aku capek dengan kehidupan ku banyak bullying setiap pulang sekolah aku langsung ngerjain tugas lalu hanya ingin mencari hiburan tidak boleh teman teman saya kebanyakan mandang fisik jadi malas,negative,0
NzMXdwZm8B0,Nanggung banget 16 tahun tambahin 2 tahun kek jadinya 18 tahun. Kalo 16 tahun anak2 belum matang dalam hidup walaupun menurut persepsi orang umur 16 tahun udah matang tapi menurut ku kurang yang benar tuh 18 tahun soalnya matang dalam hidup,nanggung banget 16 tahun tambahin 2 tahun kek jadinya 18 tahun kalo 16 tahun anak2 belum matang dalam hidup walaupun menurut persepsi orang umur 16 tahun udah matang tapi menurut ku kurang yang benar tuh 18 tahun soalnya matang dalam hidup,positive,2
C8XBDjbPNNU,Setuju banget,setuju banget,positive,2
hzDavp3DQo4,Gays tenang yang pake akun google gak bakal di blokir,gays tenang yang pake akun google gak bakal di blokir,neutral,1
QDj0g7Xw2rg,"Urus dulu noh urusan negara, kok ngurusin media sosial😡",urus dulu noh urusan negara kok ngurusin media sosial,negative,0
0Sa4S97M-uM,"program pea,,judol NTU Brantas banyak iklan YouTube,.ganti menteri kerja gak maksimal",program peajudol ntu brantas banyak iklan youtubeganti menteri kerja gak maksimal,negative,0
vk2Ynj24qNA,Ko tega sih ak dah 4 tahun di youtube kalo g ada bocil² pasti youtube ku sepi terus  gimana aku dapetin uang aku coman ngandelin youtube 😢😢😢 😢😢😢😢,ko tega sih ak dah 4 tahun di youtube kalo g ada bocil pasti youtube ku sepi terus gimana aku dapetin uang aku coman ngandelin youtube,negative,0
LSrWXE05LNY,Ih kenapa sih dilarang kan Roblox itu banyak jenisnya ya kan Kak mendownload juga banyak gunung-gunung gunung Jawa atau lain Kenapa di Band anak-anak sama book Seven parkour Warkop apa apapun semua🤬🤬,ih kenapa sih dilarang kan roblox itu banyak jenisnya ya kan kak mendownload juga banyak gununggunung gunung jawa atau lain kenapa di band anakanak sama book seven parkour warkop apa apapun semua,negative,0
LSrWXE05LNY,Kenapa ANDA MEMBAUT BELIAU CEMAS!!!<br>MEREKA PUNYA HAK MEREKA SENDIRI!!!,kenapa anda membaut beliau cemasmereka punya hak mereka sendiri,negative,0
0Sa4S97M-uM,Saya sebagai penonton YouTube diblok 😢,saya sebagai penonton youtube diblok,neutral,1
xOLutbfafBo,Merusak mental anak² kalo ini mah,merusak mental anak kalo ini mah,negative,0
vk2Ynj24qNA,Ehm gini lo emang youtube banyak video 4no? Perasaan kagak ada deh,ehm gini lo emang youtube banyak video 4no perasaan kagak ada deh,negative,0
2BdXibzPPyc,Alah😢😢😢😢,alah,negative,0
0Sa4S97M-uM,Pembodohan,pembodohan,negative,0
tuaZNgn2rcc,1000% setuju,1000 setuju,positive,2
fX2bE5ecHy4,Nanti anknya banting hp orang tuanya kalo gitu GK bisa liat jadwal,nanti anknya banting hp orang tuanya kalo gitu gk bisa liat jadwal,negative,0
viGBwFO3nDA,Dibatasi doang kayaknya (kalo gw salah kasih tau),dibatasi doang kayaknya kalo gw salah kasih tau,neutral,1
0Sa4S97M-uM,Nice makan tu bocil2 yang sering komen ngawur di TT / IG bye2 wakakaka,nice makan tu bocil2 yang sering komen ngawur di tt ig bye2 wakakaka,positive,2
C8XBDjbPNNU,"bagus !! medsos sgt merusak mental dan perilaku anak2 jaman skrg, omongan jd kasar, terpapar pornografi, kekerasan..cuma caranya gmn klo mereka malsuin umur...",bagus medsos sgt merusak mental dan perilaku anak2 jaman skrg omongan jd kasar terpapar pornografi kekerasancuma caranya gmn klo mereka malsuin umur,positive,2
2BdXibzPPyc,YouTube sama Roblox jangan plisss,youtube sama roblox jangan plisss,negative,0
_M85Z0Beq_g,kan ada gotube ada twitch ada capcut,kan ada gotube ada twitch ada capcut,neutral,1
0Sa4S97M-uM,mantap,mantap,positive,2
QDj0g7Xw2rg,Iya kalau semua aplikasi kayak gini buat apa hp Udah beli hp malah kayak gini,iya kalau semua aplikasi kayak gini buat apa hp udah beli hp malah kayak gini,negative,0
RsKRrIp--Mg,"Sangat setuju dengan kebijaksanaan ini, kita sebagai orang bisa membina anak juga",sangat setuju dengan kebijaksanaan ini kita sebagai orang bisa membina anak juga,positive,2
viGBwFO3nDA,"Dampak positif:<br>Menghindari cyberbullying<br>Menghindari tren&quot; tidak berfaedah<br>Mengurangi paparan radiasi ke anak<br>Mengurangi resiko anak menjumpai orang berbahaya <br><br>Dampak Negatif:<br>Informasi tidak semudah dibanding memiliki sosmed<br>Hilangnya tempat menunjukkan minat &amp; bakat<br>Hilangnya tempat bersosialisasi dengan mudah<br><br>Sarana:<br>Dari SD, Anak harus sudah langsung diajari Etika berinternet. Diterapkan di rumah, sekolah, dll. Nonton YouTube  Konten yang berfaedah. Harus udah tau baik dan buruk dari kecil, caranya diajari. Diawasi ortu. Pas anaknya sudah bisa, bikinlah akun yt, Ig, dll nya. Anak pasti akan menjumpai tren&quot; tidak berfaedah. tetapi sudah mengetahui dan mengerti bahwa ya, tidak bagus. Alhasil, mereka mengabaikan tren yg tidak bagus. Dan cara algoritma sosmed bekerja, kalo diabaikan/discroll artinya tidak disuka penonton, jangan dikasih video&quot; kayak gini.<br>Fyp bersih, otak bersih, Beretika dalam berinternet.",dampak positifmenghindari cyberbullyingmenghindari tren tidak berfaedahmengurangi paparan radiasi ke anakmengurangi resiko anak menjumpai orang berbahaya dampak negatifinformasi tidak semudah dibanding memiliki sosmedhilangnya tempat menunjukkan minat bakathilangnya tempat bersosialisasi dengan mudahsaranadari sd anak harus sudah langsung diajari etika berinternet diterapkan di rumah sekolah dll nonton youtube konten yang berfaedah harus udah tau baik dan buruk dari kecil caranya diajari diawasi ortu pas anaknya sudah bisa bikinlah akun yt ig dll nya anak pasti akan menjumpai tren tidak berfaedah tetapi sudah mengetahui dan mengerti bahwa ya tidak bagus alhasil mereka mengabaikan tren yg tidak bagus dan cara algoritma sosmed bekerja kalo diabaikandiscroll artinya tidak disuka penonton jangan dikasih video kayak ginifyp bersih otak bersih beretika dalam berinternet,neutral,1
OBb8iLYgMu4,Demo demo,demo demo,negative,0
p8p-sAq_hhI,Anak dibawah 16 tahun kenapa diblokir 🤔 <br><br>Tapi judol dan korupsi tidak diberantas ☠️💀💀,anak dibawah 16 tahun kenapa diblokir tapi judol dan korupsi tidak diberantas,neutral,1
xOLutbfafBo,Yang gak setuju sini ngumpul,yang gak setuju sini ngumpul,negative,0
DfYhY-bKsZI,Klo anak di bawah 16 tahun gak bisa nonton   youtube  terus aku belajar bahasa Russia nya gemana,klo anak di bawah 16 tahun gak bisa nonton youtube terus aku belajar bahasa russia nya gemana,negative,0
tuaZNgn2rcc,"PERATURAN GAK JELAS!! JUDI ONLINE AJ GK DI LARANG, SEDANGKAN GAME ROBLOX YG GK AD SALAH MALAH DI LARANG, PERATURAN GK JELAS!!",peraturan gak jelas judi online aj gk di larang sedangkan game roblox yg gk ad salah malah di larang peraturan gk jelas,negative,0
Hy5rx58GES4,"GAME,SOSMED DI HAPUS!!???<br>JUDI KAGA DI HAPUS!?<br>PERCUMA LU BIKIN ATURAN KAYA GINI NANTI UJUNG-UJUNGNYA ORANG DEWASA GAK BERPENDIDIKAN!!!!!!😠😠😠😠😠😠😠😡😡🤬🤬🤬🤬🤬🤬",gamesosmed di hapusjudi kaga di hapuspercuma lu bikin aturan kaya gini nanti ujungujungnya orang dewasa gak berpendidikan,negative,0
NzMXdwZm8B0,Nggak jelas orang jadi kalau mau belajar dari buku nggak bisa mau mengirimkan untuk kawan nggak bisa😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡,nggak jelas orang jadi kalau mau belajar dari buku nggak bisa mau mengirimkan untuk kawan nggak bisa,negative,0
DfYhY-bKsZI,Nah begitu tvone hapus saja tegss dong ya salam welas asih 🙏🙏👍👍👍🤝,nah begitu tvone hapus saja tegss dong ya salam welas asih,positive,2
LSrWXE05LNY,"INI MAH PERAMPASAN AKUN!!! SEMUA ORANG PUNYA HAK MEREKA SENDIRI !!!!! DPR KENAPA GA DIBERHENTIIN? MASALAH DPR BLM SELESAI SECEPAT ITU KALO KAPAN INDONESIA MAJU, KASIAN WOI BOCIL YANG MAU NGASILIN UANG DARI SITU, KALO GITU GENERASI EMAS BAKAL JADI GENERASI SAMPAH!!!!!??? YANG SETUJU KITA DEMO INDONESIA LIKE KOMENTAR GW DAN VIRALIN KOMENTAR KUU!!!",ini mah perampasan akun semua orang punya hak mereka sendiri dpr kenapa ga diberhentiin masalah dpr blm selesai secepat itu kalo kapan indonesia maju kasian woi bocil yang mau ngasilin uang dari situ kalo gitu generasi emas bakal jadi generasi sampah yang setuju kita demo indonesia like komentar gw dan viralin komentar kuu,negative,0
C8XBDjbPNNU,Aku tidak setuju😡 masa kalo udah punya akun yang susah-susah dirawat harus diblokir! Walaupun aman aku tetap tak setuju! Kenapa ga blokir langsung hal buruknya dan jangan hapus hal baiknya! Bagaimana aku bisa nonton Smurf Indonesia,aku tidak setuju masa kalo udah punya akun yang susahsusah dirawat harus diblokir walaupun aman aku tetap tak setuju kenapa ga blokir langsung hal buruknya dan jangan hapus hal baiknya bagaimana aku bisa nonton smurf indonesia,negative,0
tuaZNgn2rcc,"Saya sangat setuju, secara bertahap setelah semua sosmed terealisasi selanjutnya akun game!",saya sangat setuju secara bertahap setelah semua sosmed terealisasi selanjutnya akun game,positive,2
2YHfX7PzVNM,judol juga hapus,judol juga hapus,positive,2
fX2bE5ecHy4,Pls lah jangan😭😭😭,pls lah jangan,negative,0
19eKDDkJt6w,Diem Luh sok tau,diem luh sok tau,negative,0
xOLutbfafBo,Anak anak cuma pengen belajar kenapa di ban sedangkan koruptor gak di ban,anak anak cuma pengen belajar kenapa di ban sedangkan koruptor gak di ban,negative,0
C8XBDjbPNNU,Gak setuju😡😡😡😡😡,gak setuju,negative,0
2YHfX7PzVNM,Setuju....parah sekarang,setujuparah sekarang,positive,2
2BdXibzPPyc,Yuotube jangan pliss aku umur 17,yuotube jangan pliss aku umur 17,negative,0
0Sa4S97M-uM,Siap bu,siap bu,positive,2
RsKRrIp--Mg,Gak setujusih,gak setujusih,negative,0
dVTaBKZLsds,Positif nih...bagus Bu,positif nihbagus bu,positive,2
C8XBDjbPNNU,Takut viralin MBG,takut viralin mbg,negative,0
LFfRhLKHdJA,Alhamdulillah akhirnya ada perhatian dari pemerintah...👍,alhamdulillah akhirnya ada perhatian dari pemerintah,positive,2
19eKDDkJt6w,Kenapa sih cuma Roblox gak game lain benci kah karena sukses game Roblox hah,kenapa sih cuma roblox gak game lain benci kah karena sukses game roblox hah,negative,0
2YHfX7PzVNM,kita demo yok,kita demo yok,negative,0
V_mvjaonG-w,Gmn dengan anak2 yg punya chanel youtube smpe jutaan sub apakah di blokir juga <br>Kocaaaakk😂😂,gmn dengan anak2 yg punya chanel youtube smpe jutaan sub apakah di blokir juga kocaaaakk,neutral,1
0Sa4S97M-uM,"Tapi anak2 lebih pinter maen hp,aturan ini gak akn ngaruh",tapi anak2 lebih pinter maen hpaturan ini gak akn ngaruh,neutral,1
lM-QZ4uCXuk,Yang 15 tahun dimaklumi harusnya,yang 15 tahun dimaklumi harusnya,neutral,1
V_mvjaonG-w,TERLAMBATTT....,terlambattt,negative,0
aZEtsruDoQc,Saya tidak terima,saya tidak terima,negative,0
fX2bE5ecHy4,"Saya rasa,ibu dan pemerintah sekarang banyak yapping,dan seharusnya mulut ibu itu dijaga,supaya tidak diamuk masa,😊",saya rasaibu dan pemerintah sekarang banyak yappingdan seharusnya mulut ibu itu dijagasupaya tidak diamuk masa,negative,0
OBb8iLYgMu4,Apalah dasar pembohong lo ternyata roblox gak di blokir jing tolol jing dasar pembohong,apalah dasar pembohong lo ternyata roblox gak di blokir jing tolol jing dasar pembohong,negative,0
vk2Ynj24qNA,Seharusnya di bawah 12 tahun soalnya menurut ku anak 12 tahun udh bisa membedakan mana yang baik mana yang buruk,seharusnya di bawah 12 tahun soalnya menurut ku anak 12 tahun udh bisa membedakan mana yang baik mana yang buruk,negative,0
tuaZNgn2rcc,"Alhamdulillah ❤ setuju, meski ngga tahu gimana aturan teknisnya",alhamdulillah setuju meski ngga tahu gimana aturan teknisnya,positive,2
KIH6ZXRp9g0,"Tidak, Kenapa Harus 28 Maret, Aku Itu Animators Konten😢",tidak kenapa harus 28 maret aku itu animators konten,negative,0
C8XBDjbPNNU,"kasihan deh anak bau kencur <a href=""UCkszU2WH9gy1mb0dV-11UJg/xsIfY4OqCd2T29sP54iAsAw""></a>",kasihan deh anak bau kencur,neutral,1
aZEtsruDoQc,Ada juga anak-anak yang suka luar angkasa tapi kenapa ada peraturan ini anak-anak gak bisa lihat lagi luar angkasa sama gimana jelajahin luar angkasa jadi dia nggak tahu ada planet baru dan bintang-bintang dan black hole itu melihatnya luar angkasa yang sangat duper sangat-sangat besar dan ini yang bikin peraturannya ini bodoh kenapa dia nggak tahu universe iya kalau ditanyain universe itu apa sawit ah bodoh,ada juga anakanak yang suka luar angkasa tapi kenapa ada peraturan ini anakanak gak bisa lihat lagi luar angkasa sama gimana jelajahin luar angkasa jadi dia nggak tahu ada planet baru dan bintangbintang dan black hole itu melihatnya luar angkasa yang sangat duper sangatsangat besar dan ini yang bikin peraturannya ini bodoh kenapa dia nggak tahu universe iya kalau ditanyain universe itu apa sawit ah bodoh,negative,0
tuaZNgn2rcc,"Saya sebagai ibu dari dua anak sangat sangat setuju sekali,",saya sebagai ibu dari dua anak sangat sangat setuju sekali,positive,2
dVTaBKZLsds,Setujuuu setujuuuu setujuu sekali,setujuuu setujuuuu setujuu sekali,positive,2
OTk4HFU-xn8,Sudah terlambat sudah banyak anak yg stres nga di kasih hp,sudah terlambat sudah banyak anak yg stres nga di kasih hp,negative,0
tuaZNgn2rcc,hore.. akhirnya kebahagian ini  datang juga. kami mendukung bu mentri,hore akhirnya kebahagian ini datang juga kami mendukung bu mentri,positive,2
19eKDDkJt6w,Gak jelas bener pengusaha kecil doang diperbesar harus sepele diperbesar juga nggak usah dilarang lah sama main ini kok daripada aku gak boleh main ditambah lagi ku kau,gak jelas bener pengusaha kecil doang diperbesar harus sepele diperbesar juga nggak usah dilarang lah sama main ini kok daripada aku gak boleh main ditambah lagi ku kau,negative,0
tuaZNgn2rcc,Loh judol sama koruptor dah selesai? <br><br>Kok platform yang bisa buat bisnis atau youtuber yang bisa dapat duit <br>Malah dibatasi,loh judol sama koruptor dah selesai kok platform yang bisa buat bisnis atau youtuber yang bisa dapat duit malah dibatasi,negative,0
nVMFsgHRcnY,"As a young content creator, this law (PP Tunas/Reg No. 9) feels like a &#39;blanket ban&#39; that ignores the positive side of the internet. For many of us, these platforms aren&#39;t just for &#39;scrolling&#39;—they are where we could build international friendships, learn digital skills, and find our community, i have a Suggestion, Instead of deactivating accounts on March 28, why not focus on &#39;Safety-by-Design&#39;? We want platforms that remove addictive algorithms and predatory content, but let us keep our voices and our friends. You can’t protect our future by cutting us off from the digital world we’ll eventually have to lead&quot;",as a young content creator this law pp tunasreg no 9 feels like a blanket ban that ignores the positive side of the internet for many of us these platforms arent just for scrollingthey are where we could build international friendships learn digital skills and find our community i have a suggestion instead of deactivating accounts on march 28 why not focus on safetybydesign we want platforms that remove addictive algorithms and predatory content but let us keep our voices and our friends you cant protect our future by cutting us off from the digital world well eventually have to lead,negative,0
OBb8iLYgMu4,Kalau Roblox dihapus yuk kembali ke pkxd,kalau roblox dihapus yuk kembali ke pkxd,neutral,1
2BdXibzPPyc,Seharusnya tu yang batasi tu 11 atau 10 karena banyak anak² yang toxic sama bullying dan lain-lainnya.kenapa harus dibawah 16 sih😔🥀😭🙏,seharusnya tu yang batasi tu 11 atau 10 karena banyak anak yang toxic sama bullying dan lainlainnyakenapa harus dibawah 16 sih,negative,0
NzMXdwZm8B0,Sia sia kita punya aplikasi kek gini🥀🥀🥀,sia sia kita punya aplikasi kek gini,negative,0
0Sa4S97M-uM,jodol blokir tuh. iklan dmn aman2 aja gmn sih anda,jodol blokir tuh iklan dmn aman2 aja gmn sih anda,neutral,1
V_mvjaonG-w,Bagus itu terus di laksanakan <br>Karna efek medsos yg sangat bahaya,bagus itu terus di laksanakan karna efek medsos yg sangat bahaya,positive,2
dVTaBKZLsds,Di luar negeri makin maju ini d dalam negeri mlh kek gini.malah seperti semakin di buat BODOH ama negara sejak dini,di luar negeri makin maju ini d dalam negeri mlh kek ginimalah seperti semakin di buat bodoh ama negara sejak dini,negative,0
C8XBDjbPNNU,"Kami sangat setuju,.. Kalo  bisa tutup semua,..",kami sangat setuju kalo bisa tutup semua,positive,2
C8XBDjbPNNU,"Maaf, saya ingin buka suara juga, saya sebagai animator dibawah umur tidak setuju, saya sia siakan kerja keras ku selama ini, saya juga ada niat untuk membantu menambah penghasilan ortu, saya juga belajar dari medsos, saya bersosialisasi di medsos, anak remaja 13 tahun keatas butuh kebebasan juga, umur segitu sudah bisa bedakan baik dan buruk, saya juga perlu medsos untuk belajar OSN, tidak mungkin saya belajar dari YouTube kids kan?",maaf saya ingin buka suara juga saya sebagai animator dibawah umur tidak setuju saya sia siakan kerja keras ku selama ini saya juga ada niat untuk membantu menambah penghasilan ortu saya juga belajar dari medsos saya bersosialisasi di medsos anak remaja 13 tahun keatas butuh kebebasan juga umur segitu sudah bisa bedakan baik dan buruk saya juga perlu medsos untuk belajar osn tidak mungkin saya belajar dari youtube kids kan,negative,0
19eKDDkJt6w,Gas demo 🔥🔥🔥🔥🔥🔥,gas demo,negative,0
KFR9jjVi1D4,Dengan cara begitu tidak Efektif kasihan anak2 tidak bisa menggunakan media sosial segala macam peraturan pemerintah tidak setuju <br>Uruslah perekonomian untuk Rakyat kita masih banyak pengangguran dan kelaparan 😢😢,dengan cara begitu tidak efektif kasihan anak2 tidak bisa menggunakan media sosial segala macam peraturan pemerintah tidak setuju uruslah perekonomian untuk rakyat kita masih banyak pengangguran dan kelaparan,negative,0
cqVq6jZn0CM,kalo ini terjadi aku akan menjadi gila tanpa yutube,kalo ini terjadi aku akan menjadi gila tanpa yutube,negative,0
p8p-sAq_hhI,Sebelum mengatur kami atur dulu semua daerah bantu kek main atur atur rakyat🙄,sebelum mengatur kami atur dulu semua daerah bantu kek main atur atur rakyat,negative,0
OTk4HFU-xn8,"Baguss lahh, soalnya srlain berpikir kacau bnyk bocah-2 ky berasa orang penting/pejabat dan masih kecil udh pd pake kacamata min semua, mn tebel-2 pulak min nya, adek sy aja min 6 silinder 3 pdhl br kls 4 es&#39;de pulak",baguss lahh soalnya srlain berpikir kacau bnyk bocah2 ky berasa orang pentingpejabat dan masih kecil udh pd pake kacamata min semua mn tebel2 pulak min nya adek sy aja min 6 silinder 3 pdhl br kls 4 esde pulak,positive,2
OBb8iLYgMu4,Jahat lu 😢😢,jahat lu,negative,0
C8XBDjbPNNU,"konten kreator yg video nya buat anak anak bakal sepi , kan medsos ga cuma buat nonton bkep doang masih banyak buat yg laen",konten kreator yg video nya buat anak anak bakal sepi kan medsos ga cuma buat nonton bkep doang masih banyak buat yg laen,negative,0
lM-QZ4uCXuk,OKE JADI KALO ADA TUGAS LEWAT YOUTUBE GAK BISA KENA BLOKIR KITA IKUTIN PEMERINTAH JANGAN KERJAKAN PR NANTI GURU KITA BERTANYA KENAPA GAK LEWAT YOUTUBE KAN DI BLOKIR BU GURU LALU BIKIN LAH DEMO KE 2 😂😂,oke jadi kalo ada tugas lewat youtube gak bisa kena blokir kita ikutin pemerintah jangan kerjakan pr nanti guru kita bertanya kenapa gak lewat youtube kan di blokir bu guru lalu bikin lah demo ke 2,negative,0
viGBwFO3nDA,"Jadi gimana cara saya mendengar laguu???  Masa harus dengar lagu cocomelon aku maunya i stronger than you terus is been so Long, die in fire, stuck inside????",jadi gimana cara saya mendengar laguu masa harus dengar lagu cocomelon aku maunya i stronger than you terus is been so long die in fire stuck inside,negative,0
R1hQwelEGvU,"di YouTube kids ga banyak video edukasi, di YouTube kids gada jerome polin.",di youtube kids ga banyak video edukasi di youtube kids gada jerome polin,negative,0
tuaZNgn2rcc,Ywdh gw ga akan ngonten lagi💔,ywdh gw ga akan ngonten lagi,negative,0
KFR9jjVi1D4,Sayak bayak yang menglihat setuju di bawah ini karena mereka udah di atas16 tahun. Tapi yang di bawah 16 tahun tidak setujuh karena bayak di media sosial yang membantu pembelajaran kita di sekolah<br>Terimakasih🙏,sayak bayak yang menglihat setuju di bawah ini karena mereka udah di atas16 tahun tapi yang di bawah 16 tahun tidak setujuh karena bayak di media sosial yang membantu pembelajaran kita di sekolahterimakasih,negative,0
Hy5rx58GES4,"Syukur alhamdullah, bisa ada aturan ini.",syukur alhamdullah bisa ada aturan ini,positive,2
OBb8iLYgMu4,Woi itu cuman hoax Kamu ngapain dah bikin berita kayak gitu bikin aku marah nggak sih,woi itu cuman hoax kamu ngapain dah bikin berita kayak gitu bikin aku marah nggak sih,negative,0
hzDavp3DQo4,Yang ini lebih buruk daripada dicuci otaknya,yang ini lebih buruk daripada dicuci otaknya,negative,0
viGBwFO3nDA,Anak anak juga memiliki hak untuk mendapatkan hiburan dan juga yang berguna untuk masa depan.Jika mau pemerintah ngeblokir hal hal yg dilarang untuk anak,anak anak juga memiliki hak untuk mendapatkan hiburan dan juga yang berguna untuk masa depanjika mau pemerintah ngeblokir hal hal yg dilarang untuk anak,negative,0
lM-QZ4uCXuk,Setuju buk 🎉🎉🎉🎉,setuju buk,positive,2
iLERE4VmtZc,Tambahkan Game online Ibu Menteri biar mereka kejang².. itu tipu menipu menjadi satu ibu. Konten porno ada konten judol ada edit foto atas ada semua ada di dalamnya. Mau naik rank harus Mabar dengan live streamer. Harus bayar harus top up diamond . Udah masuk jebakan mereka Ibu. Please Ibu menteri tambahkan game online. Terimakasih Ibu,tambahkan game online ibu menteri biar mereka kejang itu tipu menipu menjadi satu ibu konten porno ada konten judol ada edit foto atas ada semua ada di dalamnya mau naik rank harus mabar dengan live streamer harus bayar harus top up diamond udah masuk jebakan mereka ibu please ibu menteri tambahkan game online terimakasih ibu,positive,2
vk2Ynj24qNA,Woi  jangan hapus Roblox sama YouTube kita gimana cari tutorial sama kesenengan,woi jangan hapus roblox sama youtube kita gimana cari tutorial sama kesenengan,negative,0
